#,Name,Type 1,Type 2,HP,Attack,Defense,SpAtk,SpDef,Speed,Total
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525
3,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,625
4,Charmander,Fire,-,39,52,43,60,50,65,309
5,Charmeleon,Fire,-,58,64,58,80,65,80,405
6,Charizard,Fire,Flying,78,84,78,109,85,100,534
6,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,634
6,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,634
7,Squirtle,Water,-,44,48,65,50,64,43,314
8,Wartortle,Water,-,59,63,80,65,80,58,405
9,Blastoise,Water,-,79,83,100,85,105,78,530
9,Mega Blastoise,Water,-,79,103,120,135,115,78,630
10,Caterpie,Bug,-,45,30,35,20,20,45,195
11,Metapod,Bug,-,50,20,55,25,25,30,205
12,Butterfree,Bug,Flying,60,45,50,90,80,70,395
13,Weedle,Bug,Poison,40,35,30,20,20,50,195
14,Kakuna,Bug,Poison,45,25,50,25,25,35,205
15,Beedrill,Bug,Poison,65,90,40,45,80,75,395
15,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,495
16,Pidgey,Normal,Flying,40,45,40,35,35,56,251
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479
18,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,579
19,Rattata,Normal,-,30,56,35,25,35,72,253
20,Raticate,Normal,-,55,81,60,50,70,97,413
21,Spearow,Normal,Flying,40,60,30,31,31,70,262
22,Fearow,Normal,Flying,65,90,65,61,61,100,442
23,Ekans,Poison,-,35,60,44,40,54,55,288
24,Arbok,Poison,-,60,85,69,65,79,80,438
25,Pikachu,Electric,-,35,55,40,50,50,90,320
26,Raichu,Electric,-,60,90,55,90,80,110,485
27,Sandshrew,Ground,-,50,75,85,20,30,40,300
28,Sandslash,Ground,-,75,100,110,45,55,65,450
29,Nidoran (Female),Poison,-,55,47,52,40,40,41,275
30,Nidorina,Poison,-,70,62,67,55,55,56,365
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505
32,Nidoran (Male),Poison,-,46,57,40,40,40,50,273
33,Nidorino,Poison,-,61,72,57,55,55,65,365
34,Nidoking,Poison,Ground,81,102,77,85,75,85,505
35,Clefairy,Fairy,-,70,45,48,60,65,35,323
36,Clefable,Fairy,-,95,70,73,95,90,60,483
